scenario,month,Vulnerability (average effect),Vulnerability (average effect)_lo,Vulnerability (average effect)_hi,Protection risk (average effect),Protection risk (average effect)_lo,Protection risk (average effect)_hi,Basic needs gap (average effect),Basic needs gap (average effect)_lo,Basic needs gap (average effect)_hi,Education access (average effect),Education access (average effect)_lo,Education access (average effect)_hi,Morbidity (average effect),Morbidity (average effect)_lo,Morbidity (average effect)_hi,Service efficiency (average effect),Service efficiency (average effect)_lo,Service efficiency (average effect)_hi
Gender & Child,7,0.4905856392240805,0.4901862138527853,0.4910231473872544,0.49067696194243365,0.49028819370257715,0.49107380282358315,0.47291748953024,0.4725147582228603,0.4733649889817312,0.4367281008762937,0.4363216722648777,0.43705092086944797,0.4731048964056031,0.472767762866081,0.4733661083047539,0.4304959472032017,0.43013436411694256,0.4308152014556733
Gender & Child,8,0.4958389152060665,0.4955245984962019,0.49628801668196576,0.49697426286589774,0.4965219549213798,0.49736721786677474,0.4765029596579806,0.47604330751033563,0.47693960363879734,0.4347684061461847,0.4343896054308015,0.43504886192442443,0.47599471211593125,0.47563829909250954,0.47631528753732216,0.42849660586777205,0.42811759559903534,0.4288177897962246
Gender & Child,9,0.5010670789552092,0.5006365080680304,0.5014781465540146,0.5032641910933522,0.5026078657803076,0.503780390094278,0.4800602437405913,0.47958890790531006,0.480515296227726,0.4327990708945616,0.4324057446355881,0.4330643607582313,0.4788746671693409,0.47845251255419574,0.4792441970232839,0.42655132272466273,0.42601421057968825,0.4269276618720977
Gender & Child,10,0.5063011555805149,0.5058267767051817,0.5066506458823802,0.5095229970185488,0.5088340792159601,0.510042932694903,0.4836818157113263,0.48319105799967643,0.48417867942393356,0.43082470706509535,0.4303416134195494,0.4312085591260518,0.48177702340348016,0.4813422359103032,0.4821219387821674,0.424614351440644,0.42417555030844556,0.42507350569766006
Gender & Child,11,0.511490460801181,0.5110356918666958,0.5118350407141705,0.5157835539121582,0.5151715591663113,0.516433365923828,0.48728806301640065,0.48677034276722,0.48779018705808264,0.42888175458439637,0.42835016174488566,0.4292779267187617,0.48466370787136215,0.4843504868893836,0.48505359538612774,0.422672099785276,0.42228872920619864,0.4231854199547911
Gender & Child,12,0.5166989626906419,0.5161779368442577,0.5169931200680016,0.5220356723526898,0.5213435341057827,0.5228178253638025,0.4908704667069215,0.49022016908383725,0.4914300444507457,0.42693205910881915,0.4263400065753312,0.42727624809776577,0.48752246088667306,0.4873048715021509,0.48790126736756195,0.4207228295106932,0.42037690599950966,0.4212948160828955
No intervention,0,0.45413930969986077,0.4541393096998609,0.4541393096998609,0.44665318244415764,0.44665318244415764,0.44665318244415764,0.44785200362117716,0.4478520036211772,0.4478520036211772,0.4505449397667346,0.45054493976673454,0.45054493976673454,0.4527179598584697,0.45271795985846963,0.45271795985846963,0.44421819971422105,0.44421819971422094,0.44421819971422094
No intervention,1,0.45916634107274856,0.4590045033799753,0.45927561101935194,0.4526168900395004,0.4524944738636479,0.45274145845173364,0.4518626562195345,0.45173331437488096,0.4519959262130128,0.448592921157573,0.448479943601082,0.4487265803976051,0.4557024817814561,0.4555766531253604,0.4558236592814075,0.44226468581829603,0.4421292075410009,0.4424333467885901
No intervention,2,0.4641459495885581,0.46393282907593886,0.46437647713322167,0.4585721365786156,0.4583849817964007,0.45874105147850813,0.45585260486541757,0.4556222331681059,0.4560605643541645,0.4466496977015752,0.44649306938078576,0.4468384345992483,0.45869305601613225,0.45847099461246105,0.45884756094482115,0.440329121995288,0.440110921550106,0.4405667583722944
No intervention,3,0.4691237423232587,0.4689026081620856,0.46939237661271316,0.4645281226872246,0.4642307023067035,0.4647255830442232,0.4598470318770427,0.45959128365462854,0.46010059101392903,0.4446417966269684,0.4444699204842059,0.4448339185883608,0.46169700543645203,0.461469779203385,0.4618828723257339,0.4383736068331875,0.43807413750387164,0.4387566395831325
